StandardVesselType,ShiptypeLevel5
Miscellaneous-other,Grab Hopper Dredger
Miscellaneous-other,"Bulk Cement Barge, non propelled"
Miscellaneous-other,Cutter Suction Dredger
Miscellaneous-other,Cable Layer
Miscellaneous-other,"Covered Bulk Cargo Barge, non propelled"
Miscellaneous-other,Radio Station Vessel
Miscellaneous-other,Buoy & Lighthouse Tender
Miscellaneous-other,Hopper/Dredger (unspecified)
Miscellaneous-other,Fishery Research Vessel
Miscellaneous-other,Vessel (function unknown)
Miscellaneous-other,Aggregates Carrier
Miscellaneous-other,Incinerator
Miscellaneous-other,Livestock Carrier
Miscellaneous-other,Suction Dredger
Miscellaneous-other,Standby Safety Vessel
Miscellaneous-other,"General Cargo Barge, non propelled"
Miscellaneous-other,Exhibition Vessel
Miscellaneous-other,Bucket Ladder Dredger
Miscellaneous-other,Grab Dredger
Miscellaneous-other,Houseboat
Miscellaneous-other,Supply Tender
Miscellaneous-other,"Training Ship, Stationary"
Miscellaneous-other,"Restaurant Vessel, Stationary"
Miscellaneous-other,Air Cushion Vehicle Patrol Vessel
Miscellaneous-other,Minelayer
Miscellaneous-other,Buoy Tender
Miscellaneous-other,Submarine Salvage Vessel
Miscellaneous-other,Munitions Carrier
Miscellaneous-other,Logistics Vessel (Naval Ro-Ro Cargo)
Miscellaneous-other,Cruiser
Miscellaneous-other,"Attack Vessel, Naval"
Miscellaneous-other,Torpedo Recovery Vessel
Miscellaneous-other,Infantry Landing Craft
Miscellaneous-other,Aircraft Carrier
Miscellaneous-other,Minesweeper
Miscellaneous-other,Helicopter Carrier
Miscellaneous-other,Frigate
Miscellaneous-other,Destroyer
Miscellaneous-other,Minehunter
Miscellaneous-other,Replenishment Dry Cargo Vessel
Miscellaneous-other,Command Vessel
Miscellaneous-other,Submarine
Miscellaneous-other,Landing Ship (Dock Type)
Miscellaneous-other,Replenishment Tanker
Miscellaneous-other,Corvette
Miscellaneous-other,Cable Repair Ship
Miscellaneous-other,Training Ship
Miscellaneous-other,Patrol Vessel
Miscellaneous-other,Tank Landing Craft
Miscellaneous-other,Utility Vessel
Miscellaneous-other,Floating Dock
Miscellaneous-other,Mechanical Lift Dock
Miscellaneous-other,Fire Fighting Vessel
Miscellaneous-other,Hospital Vessel
Miscellaneous-other,"Museum, Stationary"
Miscellaneous-other,Research Survey Vessel
Miscellaneous-other,"Other Activities, Inland Waterways"
Miscellaneous-other,"Diving Vessel, Naval Auxiliary"
Miscellaneous-other,"Unknown Function, Naval/Naval Auxiliary"
Miscellaneous-other,Crane Vessel
Miscellaneous-other,Fishery Patrol Vessel
Miscellaneous-other,Sail Training Ship
Miscellaneous-other,"Deck Cargo Pontoon, non propelled"
Miscellaneous-other,Pontoon (Function Unknown)
Miscellaneous-other,"Trans Shipment Barge, non propelled"
Miscellaneous-other,Lighthouse Tender
